iter	Passed	Remaining
1148	142475	105523
1149	142619	105414
1150	142750	105295
1151	142862	105162
1152	142990	105041
1153	143114	104917
1154	143236	104792
1155	143372	104676
1156	143503	104557
1157	143654	104453
1158	143780	104330
1159	143906	104208
1160	144028	104082
1161	144149	103956
1162	144257	103820
1163	144376	103693
1164	144501	103569
1165	144627	103446
1166	144754	103325
1167	144867	103193
1168	144989	103067
1169	145104	102937
1170	145224	102810
1171	145356	102691
1172	145485	102571
1173	145584	102430
1174	145707	102305
1175	145825	102177
1176	145966	102064
1177	146090	101941
1178	146210	101814
1179	146328	101685
1180	146461	101568
1181	146568	101432
1182	146685	101303
1183	146817	101185
1184	146941	101061
1185	147069	100939
1186	147183	100808
1187	147315	100690
1188	147444	100569
1189	147573	100449
1190	147681	100314
1191	147815	100197
1192	147933	100069
1193	148041	99934
1194	148140	99793
1195	148272	99675
1196	148409	99559
1197	148534	99436
1198	148653	99309
1199	148758	99172
1200	148881	99047
1201	148980	98907
1202	149096	98777
1203	149198	98639
1204	149325	98517
1205	149441	98388
1206	149551	98255
1207	149668	98127
1208	149793	98003
1209	149916	97879
1210	150032	97750
1211	150164	97632
1212	150281	97503
1213	150413	97384
1214	150533	97258
1215	150645	97126
1216	150784	97012
1217	150912	96891
1218	151032	96765
1219	151168	96648
1220	151289	96522
1221	151413	96399
1222	151529	96269
1223	151656	96148
1224	151786	96028
1225	151905	95901
1226	152017	95769
1227	152126	95636
1228	152239	95505
1229	152371	95387
1230	152482	95254
1231	152607	95131
1232	152735	95010
1233	152852	94882
1234	152991	94767
1235	153123	94649
1236	153256	94530
1237	153391	94413
1238	153529	94298
1239	153650	94172
1240	153770	94046
1241	153904	93929
1242	154017	93798
1243	154143	93675
1244	154268	93552
1245	154397	93431
1246	154510	93300
1247	154634	93177
1248	154759	93053
1249	154884	92930
1250	154984	92792
1251	155105	92667
1252	155216	92535
1253	155332	92406
1254	155440	92273
1255	155554	92143
1256	155683	92023
1257	155824	91909
1258	155952	91787
1259	156072	91661
1260	156204	91542
1261	156329	91419
1262	156443	91289
1263	156557	91160
1264	156674	91031
1265	156811	90916
1266	156938	90793
1267	157067	90672
1268	157193	90550
1269	157341	90440
1270	157465	90316
1271	157587	90191
1272	157714	90069
1273	157851	89953
1274	158008	89847
1275	158168	89744
1276	158307	89629
1277	158437	89508
1278	158551	89378
1279	158698	89267
1280	158807	89135
1281	158947	89020
1282	159053	88886
1283	159183	88765
1284	159316	88646
1285	159450	88528
1286	159578	88406
1287	159700	88281
1288	159824	88157
1289	159954	88036
1290	160098	87923
1291	160237	87808
1292	160375	87691
1293	160484	87559
1294	160601	87431
1295	160725	87307
1296	160842	87179
1297	160958	87051
1298	161075	86923
1299	161194	86796
1300	161305	86665
1301	161437	86546
1302	161555	86418
1303	161673	86292
1304	161790	86164
1305	161918	86042
1306	162063	85929
1307	162207	85816
1308	162341	85697
1309	162468	85574
1310	162603	85456
1311	162719	85328
1312	162820	85192
1313	162939	85065
1314	163076	84948
1315	163211	84830
1316	163345	84711
1317	163482	84594
1318	163612	84473
1319	163720	84341
1320	163831	84210
1321	163953	84085
1322	164078	83961
1323	164206	83839
1324	164328	83714
1325	164451	83589
1326	164578	83467
1327	164695	83339
1328	164808	83210
1329	164933	83086
1330	165059	82963
1331	165166	82831
1332	165288	82706
1333	165411	82581
1334	165541	82460
1335	165637	82322
1336	165760	82198
1337	165863	82064
1338	166004	81948
1339	166126	81823
1340	166256	81702
1341	166380	81578
1342	166504	81454
1343	166638	81335
1344	166762	81211
1345	166883	81086
1346	167001	80959
1347	167120	80832
1348	167261	80716
1349	167384	80592
1350	167518	80473
1351	167660	80358
1352	167794	80238
1353	167904	80108
1354	168014	79977
1355	168132	79850
1356	168266	79731
1357	168394	79609
1358	168511	79481
1359	168629	79354
1360	168756	79232
1361	168866	79101
1362	168985	78975
1363	169102	78848
1364	169231	78726
1365	169367	78608
1366	169496	78486
1367	169625	78365
1368	169743	78238
1369	169852	78107
1370	169972	77981
1371	170078	77849
1372	170199	77723
1373	170320	77598
1374	170431	77468
1375	170539	77337
1376	170671	77217
